h0,h,liquid
0.377,0.1404717293779661,gw80
0.383,0.1449973927180335,gw80
0.389,0.1485493664181023,gw80
0.39599999999999996,0.152494354646272,gw80
0.402,0.1563744705921864,gw80
0.40900000000000003,0.1616845925677218,gw80
0.416,0.1671942988090183,gw80
0.422,0.1716349074837016,gw80
0.429,0.1757800212812184,gw80
0.43600000000000005,0.1804267703988492,gw80
0.444,0.1862490590700173,gw80
0.451,0.1917409746333426,gw80
0.458,0.1966927828221162,gw80
0.46599999999999997,0.2018694853126169,gw80
0.47300000000000003,0.2068359485575179,gw80
0.481,0.2128320747357919,gw80
0.48899999999999993,0.2192166500788675,gw80
0.49700000000000005,0.224389244020639,gw80
0.505,0.2300879784974073,gw80
0.513,0.2362205958694603,gw80
0.522,0.2436295250283474,gw80
0.53,0.24903119938434,gw80
0.539,0.2556034957327444,gw80
0.5479999999999999,0.2627921145704578,gw80
0.5569999999999999,0.2703485688000943,gw80
0.566,0.2768392647904369,gw80
0.575,0.2839374149679139,gw80
0.585,0.2923983509745957,gw80
0.594,0.2999927644194922,gw80
0.6040000000000001,0.3079849807627069,gw80
0.614,0.3163472926253349,gw80
0.624,0.325495030561649,gw80
0.634,0.3341652862525603,gw80
0.6449999999999999,0.3438876137651309,gw80
0.655,0.3532182965231921,gw80
0.666,0.363981527788792,gw80
0.6769999999999999,0.3742832436284669,gw80
0.6880000000000001,0.3851628460543785,gw80
0.699,0.3966005018193664,gw80
0.7110000000000001,0.4091797147718197,gw80
0.722,0.4206641720654303,gw80
0.734,0.4339606786488907,gw80
0.746,0.4475641160715665,gw80
0.759,0.4619727324129425,gw80
0.771,0.4757151244483875,gw80
0.784,0.4914315201879148,gw80
0.796,0.5054789540605291,gw80
0.809,0.5212941241289504,gw80
0.823,0.5387121878489058,gw80
0.8360000000000001,0.5547576694067842,gw80
0.85,0.5725553391428035,gw80
0.864,0.590794589689672,gw80
0.878,0.6086290721884573,gw80
0.892,0.626967511186368,gw80
0.907,0.6469693119329007,gw80
0.9219999999999999,0.6667120848814885,gw80
0.937,0.6868120791146947,gw80
0.9520000000000001,0.70686544366455,gw80
0.968,0.7284469011294361,gw80
0.9840000000000001,0.7501376596706876,gw80
1.0,0.7719237728183975,gw80
